epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,115.534,1.82966,7.78036,0.01148,0.63146,0.29161,0.25566,0.11014,1.59345,6.1772,0.01842,0.000415948,0.000415948,0.000415948
2,210.913,1.78898,4.88387,0.01121,0.66815,0.33817,0.32573,0.13555,1.6925,4.50544,0.01984,0.000791401,0.000791401,0.000791401
3,306.799,1.88677,3.41554,0.012,0.63261,0.35241,0.32793,0.13797,1.68193,3.16,0.01948,0.0011256,0.0011256,0.0011256
4,404.493,1.87812,2.79121,0.01195,0.46412,0.45162,0.40613,0.18859,1.66238,2.78466,0.02013,0.00106437,0.00106437,0.00106437
5,504.155,1.85817,2.50494,0.01173,0.67765,0.41364,0.42175,0.18995,1.72485,2.49938,0.02249,0.0010025,0.0010025,0.0010025
6,604.063,1.83871,2.25467,0.01182,0.68404,0.42157,0.48511,0.2376,1.71524,2.28081,0.02087,0.000940625,0.000940625,0.000940625
7,704.722,1.83725,2.14506,0.01226,0.50302,0.48529,0.49244,0.23416,1.72138,2.33136,0.02034,0.00087875,0.00087875,0.00087875
8,804.478,1.78823,2.0062,0.01148,0.54581,0.54217,0.54604,0.25137,1.63139,1.87427,0.0191,0.000816875,0.000816875,0.000816875
9,905.26,1.78322,1.875,0.01138,0.54782,0.54875,0.5656,0.26659,1.68855,1.77991,0.02096,0.000755,0.000755,0.000755
10,1002.21,1.74656,1.80914,0.01103,0.62531,0.5687,0.62459,0.30194,1.67004,1.70772,0.02063,0.000693125,0.000693125,0.000693125
11,1093.46,1.7185,1.57001,0.01185,0.53453,0.58967,0.58443,0.28818,1.67385,1.69092,0.01998,0.00063125,0.00063125,0.00063125
12,1184.14,1.65605,1.44973,0.01123,0.60186,0.65351,0.64028,0.31521,1.55507,1.59535,0.01831,0.000569375,0.000569375,0.000569375
13,1274.81,1.63342,1.36437,0.01105,0.63263,0.58649,0.60735,0.31227,1.66109,1.61622,0.01959,0.0005075,0.0005075,0.0005075
14,1366,1.60797,1.29804,0.01046,0.73502,0.6631,0.70488,0.35436,1.56721,1.53356,0.01858,0.000445625,0.000445625,0.000445625
15,1473.23,1.58162,1.19565,0.01044,0.76277,0.68384,0.73292,0.36729,1.59799,1.50758,0.01817,0.00038375,0.00038375,0.00038375
16,1564.58,1.57239,1.15854,0.01048,0.6918,0.73033,0.73446,0.38437,1.54973,1.37461,0.0174,0.000321875,0.000321875,0.000321875
17,1654.85,1.57426,1.10766,0.01031,0.77306,0.64328,0.74736,0.37459,1.54676,1.39221,0.01736,0.00026,0.00026,0.00026
18,1746.01,1.50906,1.09117,0.00936,0.764,0.70368,0.75731,0.39503,1.55584,1.35529,0.0183,0.000198125,0.000198125,0.000198125
19,1837.36,1.50425,1.04165,0.00978,0.76387,0.73972,0.77913,0.40803,1.50897,1.32288,0.01668,0.00013625,0.00013625,0.00013625
20,1929.26,1.46824,1.01299,0.00905,0.76743,0.70867,0.77516,0.40172,1.50975,1.31068,0.01651,7.4375e-05,7.4375e-05,7.4375e-05
