epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,199.787,1.50784,4.75723,0.01287,0.52608,0.44545,0.43309,0.21929,1.31971,6.12771,0.01416,0.000660969,0.000660969,0.000660969
2,455.341,1.49061,3.94205,0.01255,0.55495,0.50255,0.51118,0.27343,1.4289,4.47892,0.01612,0.00126192,0.00126192,0.00126192
3,624.519,1.54241,3.29208,0.01266,0.63489,0.51114,0.56862,0.30749,1.5224,3.68964,0.01759,0.00179687,0.00179687,0.00179687
4,815.886,1.58876,3.10212,0.01451,0.69054,0.53333,0.61362,0.31148,1.66302,3.21625,0.02065,0.001703,0.001703,0.001703
5,998.571,1.61617,2.74824,0.01437,0.72983,0.51212,0.61057,0.3155,1.56202,2.82671,0.01891,0.001604,0.001604,0.001604
6,1180.72,1.5228,2.44707,0.01289,0.7577,0.58753,0.64315,0.34211,1.57573,2.61025,0.01859,0.001505,0.001505,0.001505
7,1361.74,1.60652,2.29985,0.01423,0.7811,0.6,0.67164,0.36454,1.55067,2.35182,0.01807,0.001406,0.001406,0.001406
8,1538.63,1.56444,2.11643,0.01359,0.73515,0.63939,0.6991,0.36957,1.61605,2.12299,0.01983,0.001307,0.001307,0.001307
9,1715.68,1.53527,1.94396,0.01259,0.7278,0.6644,0.7174,0.40633,1.50985,1.89917,0.01799,0.001208,0.001208,0.001208
10,1891.21,1.4726,1.7555,0.01261,0.7389,0.63636,0.71784,0.41743,1.48844,1.8654,0.01747,0.001109,0.001109,0.001109
11,2064.6,1.42819,1.85237,0.01497,0.71433,0.62893,0.69729,0.40682,1.5097,1.78295,0.01813,0.00101,0.00101,0.00101
12,2252.07,1.42268,1.68415,0.01494,0.81096,0.64848,0.74359,0.45088,1.45335,1.6744,0.01687,0.000911,0.000911,0.000911
13,2436.05,1.3524,1.57456,0.01426,0.81772,0.65152,0.74469,0.44306,1.48149,1.64899,0.01741,0.000812,0.000812,0.000812
14,2624.66,1.34181,1.47925,0.01467,0.82069,0.65185,0.73014,0.43198,1.46788,1.55952,0.01683,0.000713,0.000713,0.000713
15,2798.01,1.32617,1.38369,0.01369,0.74743,0.68182,0.73936,0.4438,1.44432,1.50634,0.01587,0.000614,0.000614,0.000614
16,2968.94,1.29898,1.33263,0.01336,0.80111,0.65758,0.75026,0.45248,1.42226,1.47263,0.01615,0.000515,0.000515,0.000515
17,3151.44,1.27887,1.32106,0.01303,0.82965,0.64938,0.75978,0.46893,1.38059,1.47144,0.01509,0.000416,0.000416,0.000416
18,3344.22,1.22858,1.25298,0.01216,0.82886,0.66044,0.75442,0.46267,1.38995,1.45221,0.01499,0.000317,0.000317,0.000317
19,3517.73,1.20283,1.21404,0.01169,0.81182,0.66667,0.75736,0.47218,1.379,1.40672,0.0148,0.000218,0.000218,0.000218
20,3689.61,1.21146,1.20482,0.01135,0.80957,0.66667,0.75555,0.47117,1.37805,1.39391,0.01489,0.000119,0.000119,0.000119
